rider_id,alloted_orders,delivered_orders,undelivered_orders,lifetime_order_count
11233,84,84,0,511
4790,204,203,2,660
3936,0,0,0,487
18803,0,0,0,4
13093,11,11,0,366
13520,50,50,0,85
20549,5,5,0,1275
4326,56,56,0,686
2520,68,68,0,1009
9038,96,96,0,3271
2466,134,132,3,1240
5697,67,66,1,208
1750,46,43,3,266
4321,72,72,1,186
11092,31,29,2,82
176,194,194,0,236
576,8,8,0,115
6373,0,0,0,51
9719,42,41,1,171
17573,13,13,0,145
1552,46,46,0,418
18474,20,20,0,46
5038,230,230,0,833
764,115,115,0,630
2204,126,124,2,1261
1373,108,108,0,788
3762,101,100,1,137
1268,161,160,1,238
10073,84,82,2,151
15805,26,26,0,1161
20310,0,0,0,1
161,49,48,1,306
8057,152,150,3,704
7499,77,76,1,913
13048,169,168,2,1600
20860,0,0,0,1066
1595,15,15,0,31
12251,11,11,0,51
10399,55,54,1,1004
8869,3,3,0,9
8873,25,25,1,1124
11158,157,154,4,507
815,10,10,0,78
8660,11,11,0,226
6127,53,53,0,83
14913,0,0,0,6
3071,2,2,0,80
8724,4,4,0,19
12961,25,25,0,144
4452,122,122,0,229
2721,5,5,0,46
19073,0,0,0,371
13035,0,0,0,1007
5604,22,22,0,78
3834,44,44,0,84
15271,0,0,0,1
9306,42,42,0,640
19965,14,14,0,62
17697,87,86,1,136
19297,2,2,0,33
14764,5,4,1,1996
20791,5,4,1,318
2543,83,83,0,167
1287,83,83,0,1326
6258,112,110,2,1262
3840,80,78,2,840
6775,87,86,1,1662
10431,1,0,0,1183
307,0,0,0,47
21274,55,52,3,105
366,168,164,4,281
3199,10,8,2,74
6445,88,87,1,322
4078,113,112,1,548
14205,19,19,0,66
20029,7,7,0,25
5436,35,35,0,50
21205,0,0,0,7
13577,63,61,2,199
15851,91,91,0,150
15945,29,29,0,127
9362,62,62,0,226
6458,53,53,1,70
19626,117,116,1,322
17890,0,0,0,0
19324,6,6,0,21
7064,83,80,3,162
9491,23,23,0,77
7946,7,7,0,60
17889,1,1,0,67
15177,6,6,0,12
19608,2,2,0,112
13866,18,18,0,101
17968,0,0,0,11
12248,51,51,0,96
19597,15,15,0,1087
12622,97,93,4,524
14655,0,0,0,220
20961,0,0,0,922
2773,74,73,1,3130
2544,39,39,0,92
18246,82,81,1,1518
8647,187,187,0,1591
20967,48,48,0,88
12870,10,10,0,51
13475,64,63,1,2576
13273,6,6,0,58
20109,9,9,0,40
4754,94,94,0,406
13,258,257,1,2415
4689,148,146,2,426
13272,27,27,0,3655
20244,15,15,0,277
8548,310,306,5,1028
9185,14,14,0,416
17407,0,0,0,24
11194,36,36,0,912
1942,132,132,0,1365
15072,0,0,0,7
14747,11,11,0,24
7418,122,121,1,547
3442,17,16,1,30
2952,140,140,1,453
3755,47,47,0,152
1006,4,4,0,127
16727,0,0,0,6
14849,17,17,0,80
6084,164,164,0,1104
13184,175,174,2,582
19381,62,60,2,299
19331,57,56,1,112
18379,216,215,1,244
453,470,468,2,620
19225,6,5,1,10
